Cameras as of 2025-05-05,,,,,,,,,,,
Server Name,Device Name,IP Address,Model,MAC Address,switch/port,Firmware Version,Serial Number,Bitrate,Resolution,Quality,Image Rate
Byng Campus East NVR (201),Koller Gym Court NE (201.20),10.10.201.20,8.0C-H5A-D1-IR,00:18:85:33:67:6A,,4.86.0.20(7a7d6563),1.12012E+11,6208,3840x2160,6,20
Byng Campus East NVR (201),Koller Gym Court NW (201.21),10.10.201.21,8.0C-H5A-D1-IR,00:18:85:33:67:09,,4.86.0.20(7a7d6563),1.12012E+11,7864,3840x2160,6,30
Byng Campus East NVR (201),Band Interior 2 (201.22),10.10.201.22,6.0C-H5A-D1-IR,00:18:85:2F:D9:F7,,4.86.0.20(7a7d6563),1.12006E+11,3632,3200x1800,6,10
Byng Campus East NVR (201),Admin Entry (201.23),10.10.201.23,4.0C-H5A-D1,00:18:85:35:8F:41,,4.86.0.20(7a7d6563),1.12103E+11,3400,2560x1440,6,10
Byng Campus East NVR (201),Band Interior 1 (201.24),10.10.201.24,6.0C-H5A-D1-IR,00:18:85:32:E6:70,,4.86.0.20(7a7d6563),1.12011E+11,4760,3200x1800,6,10
Byng Campus East NVR (201),Koller Gym Lobby East (201.25),10.10.201.25,4.0C-H5A-D1-IR,00:18:85:35:71:92,,4.86.0.20(7a7d6563),1.12103E+11,3544,2560x1440,6,10
Byng Campus East NVR (201),LRP on Koller Gym (201.26),10.10.201.26,5.0C-H5SL-BO1-IR,00:18:85:35:2C:F8,,4.10.0.106(32500),1.12103E+11,4136,2592x1944,6,20
Byng Campus East NVR (201),Koller Gym Court SW (201.27),10.10.201.27,8.0C-H5A-D1-IR,00:18:85:33:67:0C,,4.86.0.20(7a7d6563),1.12012E+11,11416,3840x2160,6,30
Byng Campus East NVR (201),Koller Gym Court SE (201.28),10.10.201.28,8.0C-H5A-D1-IR,00:18:85:33:7F:5C,,4.86.0.20(7a7d6563),1.12012E+11,10408,3840x2160,6,30
Byng Campus East NVR (201),Koller Gym Lobby West (201.29),10.10.201.29,4.0C-H5A-D1-IR,00:18:85:35:91:67,,4.86.0.20(7a7d6563),1.12103E+11,3288,2560x1440,6,10
Byng Campus East NVR (201),Koller Gym Ext Entry East Ticket Booth (201.30),10.10.201.30,4.0C-H5A-D1-IR,00:18:85:35:91:F0,,4.86.0.20(7a7d6563),1.12103E+11,2336,2560x1440,6,10
Byng Campus East NVR (201),Koller Gym Concession (201.31),10.10.201.31,4.0C-H5A-D1-IR,00:18:85:35:92:90,,4.86.0.20(7a7d6563),1.12103E+11,4624,2560x1440,6,10
Byng Campus East NVR (201),Athletics Lobby (201.32),10.10.201.32,4.0C-H5A-D1-IR,00:18:85:35:93:18,,4.86.0.20(7a7d6563),1.12103E+11,2064,2560x1440,6,10
Byng Campus East NVR (201),Athletics Ext Front Sidewalk (201.33),10.10.201.33,8.0C-H5A-DO1-IR,00:18:85:35:A6:4B,,4.86.0.20(7a7d6563),1.12104E+11,4448,3840x2160,6,10
Byng Campus East NVR (201),Admin Ext Back (201.34),10.10.201.34,8.0C-H5A-DO1-IR,00:18:85:35:A7:7B,,4.86.0.20(7a7d6563),1.12104E+11,5456,3840x2160,6,15
